ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8153373	0.995	0.000247	-4.8075995	-2.36	-0.37793107	CYP11B2	cytochrome P450 family 11 subfamily B member 2
8138466	0.995	0.00073	4.2551161	-2.65	0.77476335	MACC1	metastasis associated in colon cancer 1
8113773	0.995	0.000863	4.1708493	-2.69	0.86611859	ALDH7A1	aldehyde dehydrogenase 7 family member A1
7987526	0.995	0.001072	4.0625582	-2.76	0.39114476	C15orf57	chromosome 15 open reading frame 57
8123744	0.995	0.001124	-4.0386133	-2.77	-1.65865933	F13A1	coagulation factor XIII A chain
7908816	0.995	0.001526	-3.8865377	-2.86	-0.54432572	LGR6	leucine rich repeat containing G protein-coupled receptor 6
7982000	0.995	0.001564	-3.8744107	-2.86	-0.57553016	SNORD116-26	small nucleolar RNA, C/D box 116-26
7903765	0.995	0.001597	3.8639119	-2.87	1.31747502	GSTM1	glutathione S-transferase mu 1
8089771	0.995	0.001856	3.7893414	-2.92	0.46559292	CD80	CD80 molecule
8106730	0.995	0.002209	3.7033396	-2.97	0.47579369	XRCC4	X-ray repair cross complementing 4
7922127	0.995	0.002249	-3.6944628	-2.97	-0.52314817	XCL2	X-C motif chemokine ligand 2
8151898	0.995	0.002572	3.628146	-3.01	0.36699629	C8orf37	chromosome 8 open reading frame 37
7950442	0.995	0.002577	-3.6271783	-3.01	-0.31221136		
7949650	0.995	0.002794	-3.5872098	-3.04	-0.35147323	CTSF	cathepsin F
8168580	0.995	0.002929	3.5639236	-3.05	0.4492539	APOOL	apolipoprotein O like
8145317	0.995	0.003187	3.5222719	-3.08	1.32918065	ADAMDEC1	ADAM like decysin 1
8142120	0.995	0.003201	3.5201783	-3.08	0.5457613	NAMPT	nicotinamide phosphoribosyltransferase
8072926	0.995	0.003618	3.4597657	-3.12	0.48032313	H1F0	H1 histone family member 0
7942372	0.995	0.003701	-3.4485976	-3.13	-1.04882721	FOLR2	folate receptor beta
7948565	0.995	0.00376	3.4408276	-3.13	0.78567186	CYB561A3	cytochrome b561 family member A3
7963770	0.995	0.003973	3.4136923	-3.15	1.03394854	GPR84	G protein-coupled receptor 84
8111153	0.995	0.004584	3.3431451	-3.19	0.44425322	MYO10	myosin X
8142061	0.995	0.004633	3.337956	-3.2	0.40441411	PUS7	pseudouridylate synthase 7 (putative)
8074780	0.995	0.0048	-3.3204827	-3.21	-0.3863054	YPEL1	yippee like 1
8157058	0.995	0.004896	3.3107331	-3.21	0.3424889	FSD1L	fibronectin type III and SPRY domain containing 1 like
8097801	0.995	0.004981	3.3022042	-3.22	0.51836548	FAM160A1	family with sequence similarity 160 member A1
8158637	0.995	0.005065	-3.294	-3.23	-0.33167542	HMCN2	hemicentin 2
7904408	0.995	0.005245	-3.2766905	-3.24	-0.34146477	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
7909188	0.995	0.005246	3.2765913	-3.24	0.28382413	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
7928429	0.995	0.005383	3.263965	-3.24	0.79527675	PLAU	plasminogen activator, urokinase
7903777	0.995	0.005386	3.2636344	-3.25	0.42318488	GSTM5	glutathione S-transferase mu 5
8070297	0.995	0.005855	-3.2224561	-3.27	-0.36193248	ERG	ERG, ETS transcription factor
8080640	0.995	0.005898	3.2188663	-3.27	0.29760579	SPATA12	spermatogenesis associated 12
7998233	0.995	0.006141	3.198935	-3.29	0.29693962	TMEM8A	transmembrane protein 8A
8008885	0.995	0.006424	3.1766691	-3.3	0.73933322	MIR21	microRNA 21
7954701	0.995	0.00645	3.174673	-3.3	0.24222364	ETFBKMT	electron transfer flavoprotein beta subunit lysine methyltransferase
8139107	0.995	0.006556	-3.1666363	-3.31	-0.85732749		
7960900	0.995	0.006759	3.1515741	-3.32	1.24706321	CLEC4E	C-type lectin domain family 4 member E
7972737	0.995	0.006833	3.1461726	-3.32	0.27380277	LIG4	DNA ligase 4
8074897	0.995	0.006973	3.1361726	-3.33	0.30800264	LOC388882	uncharacterized LOC388882
7919243	0.995	0.007338	-3.1109501	-3.35	-0.32466828	CD160	CD160 molecule
8059319	0.995	0.007427	3.1049985	-3.35	0.34074283	FARSB	phenylalanyl-tRNA synthetase beta subunit
7951672	0.995	0.007502	3.1000122	-3.35	0.23187751	PIH1D2	PIH1 domain containing 2
8031387	0.995	0.007576	-3.0951225	-3.36	-0.42453223	NCR1	natural cytotoxicity triggering receptor 1
8131496	0.995	0.00759	-3.0942158	-3.36	-0.27893337	GLCCI1	glucocorticoid induced 1
7912136	0.995	0.007802	-3.0805974	-3.37	-0.2771759	UTS2	urotensin 2
7949124	0.995	0.008011	-3.067533	-3.37	-0.247923	PYGM	phosphorylase, glycogen, muscle
8171435	0.995	0.008024	3.0667535	-3.37	0.5404545	PIR-FIGF///PIR	PIR-FIGF readthrough///pirin
7975602	0.995	0.00838	3.0452233	-3.39	0.3738922	ACOT2	acyl-CoA thioesterase 2
8053417	0.995	0.008729	3.0250382	-3.4	0.5719967	CAPG	capping actin protein, gelsolin like
7947526	0.995	0.008864	-3.0174293	-3.41	-0.34769839		
7927876	0.995	0.008881	-3.0164286	-3.41	-0.37814811	TET1	tet methylcytosine dioxygenase 1
7940108	0.995	0.008886	-3.0161841	-3.41	-0.29818616	OR6Q1	olfactory receptor family 6 subfamily Q member 1 (gene/pseudogene)
8174654	0.995	0.008955	-3.0123668	-3.41	-0.32045026	KLHL13	kelch like family member 13
8017843	0.995	0.009073	3.0058403	-3.42	0.70557305	SLC16A6	solute carrier family 16 member 6
8044049	0.995	0.009124	-3.0030599	-3.42	-0.96686579	IL18RAP	interleukin 18 receptor accessory protein
7910200	0.995	0.009206	-2.9986235	-3.42	-0.22333888	SNAP47	synaptosome associated protein 47
8130556	0.995	0.009231	2.9972786	-3.42	0.7210889	SOD2	superoxide dismutase 2, mitochondrial
8131479	0.995	0.009382	2.9892369	-3.43	0.25205748	MIOS	meiosis regulator for oocyte development
